learned_per_gen,power_fit,polynomial_fit
4,3.518903725426719,-344.1670365745223
13,2.021417516881597,109.47356326414918
30,,-4.456413198175567
56,,0.2152085879642852
87,,-0.0017599091559790316
126,,
178,,
230,,
296,,
369,,
451,,
539,,
630,,
739,,
847,,
969,,
1098,,
1229,,
1374,,
1522,,
1678,,
1844,,
2019,,
2199,,
2388,,
2585,,
2793,,
3004,,
3227,,
3449,,
3688,,
3928,,
4185,,
4446,,
4711,,
4982,,
5267,,
5555,,
5860,,
6159,,
6478,,
6799,,
7126,,
7460,,
7818,,
8177,,
8540,,
8924,,
9301,,
9694,,
10089,,
10492,,
10904,,
11319,,
11739,,
12178,,
12620,,
13070,,
13524,,
13998,,
14466,,
14955,,
15437,,
15933,,
16123,,
16221,,
16291,,
16338,,
16368,,
16384,,
